20
x1;1;2;3;4;5;6;7;8;9;10
x2;1;2;3;4;5;6;7;8;9;10
x3;1;2;3;4;5;6;7;8;9;10
x4;1;2;3;4;5;6;7;8;9;10
x5;1;2;3;4;5;6;7;8;9;10
x6;1;2;3;4;5;6;7;8;9;10
x7;1;2;3;4;5;6;7;8;9;10
x8;1;2;3;4;5;6;7;8;9;10
x9;1;2;3;4;5;6;7;8;9;10
x10;1;2;3;4;5;6;7;8;9;10
x11;1;2;3;4;5;6;7;8;9;10
x12;1;2;3;4;5;6;7;8;9;10
x13;1;2;3;4;5;6;7;8;9;10
x14;1;2;3;4;5;6;7;8;9;10
x15;1;2;3;4;5;6;7;8;9;10
x16;1;2;3;4;5;6;7;8;9;10
x17;1;2;3;4;5;6;7;8;9;10
x18;1;2;3;4;5;6;7;8;9;10
x19;1;2;3;4;5;6;7;8;9;10
x20;1;2;3;4;5;6;7;8;9;10
38
ext
x5;x6
25
1;6
1;1
7;6
6;2
5;3
10;8
8;10
3;5
5;5
9;6
1;9
4;4
6;5
2;2
9;7
2;3
3;3
10;7
4;6
3;4
5;4
9;3
10;3
8;5
6;6
ext
x6;x12
25
4;6
9;4
6;6
10;4
7;9
8;8
9;6
6;9
4;5
4;10
1;4
1;7
9;3
10;8
7;8
5;6
5;8
3;2
6;8
6;2
3;10
6;7
2;5
5;4
1;1
ext
x6;x16
25
3;7
1;7
7;1
1;1
3;6
1;5
3;4
7;6
9;5
10;9
2;1
1;6
6;7
8;3
3;10
6;3
7;7
9;8
5;7
5;2
1;8
3;8
5;1
8;1
10;5
ext
x4;x10
25
3;9
2;8
8;7
4;1
3;6
4;7
5;8
4;10
5;10
1;8
10;1
9;2
8;5
8;6
8;1
8;8
2;5
2;9
7;10
6;1
3;10
9;9
6;6
2;2
7;4
ext
x6;x14
25
5;3
7;4
6;7
3;7
6;1
7;9
3;2
6;2
5;10
7;2
6;3
6;9
5;8
2;10
4;5
4;3
10;3
9;8
10;4
4;6
6;6
8;5
5;2
2;7
3;8
ext
x13;x15
25
10;6
8;5
9;2
4;8
2;8
3;8
6;5
8;1
2;4
3;5
